Corner,vsup,temperature,l55lp_v0101.lib.scs,l55lp_v0101.lib.scs,l55lp_v0101.lib.scs,Pass/Fail,"VDC(""/net13"")"
C0_244,2.8,0,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.075
C0_245,2.8,10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.064
C0_246,2.8,20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.052
C0_247,2.8,30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.041
C0_248,2.8,40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.029
C0_249,2.8,50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.017
C0_250,2.8,60,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.005
C0_251,2.8,70,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.993
C0_252,2.8,80,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.981
C0_253,2.8,90,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.968
C0_254,2.8,100,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.956
C0_255,3,-55,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.248
C0_256,3,-50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.242
C0_257,3,-40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.23
C0_258,3,-30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.217
C0_259,3,-20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.205
C0_260,3,-10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.192
C0_261,3,0,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.18
C0_262,3,10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.167
C0_263,3,20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.154
C0_264,3,30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.141
C0_265,3,40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.128
C0_266,3,50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.115
C0_267,3,60,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.102
C0_268,3,70,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.089
C0_269,3,80,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.076
C0_270,3,90,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.062
C0_271,3,100,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.049
C0_272,1.6,-55,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6249
C0_273,1.6,-50,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6137
C0_274,1.6,-40,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5909
C0_275,1.6,-30,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5681
C0_276,1.6,-20,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5453
C0_277,1.6,-10,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5223
C0_278,1.6,0,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4992
C0_279,1.6,10,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4761
C0_280,1.6,20,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4531
C0_281,1.6,30,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4298
C0_282,1.6,40,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4064
C0_283,1.6,50,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3832
C0_284,1.6,60,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3597
C0_285,1.6,70,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3363
C0_286,1.6,80,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3129
C0_287,1.6,90,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2893
C0_288,1.6,100,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2657
C0_289,1.8,-55,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6249
C0_290,1.8,-50,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6136
C0_291,1.8,-40,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5908
C0_292,1.8,-30,ff_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.568
